date_bs,date_ad,PSP_Agents,Wallet_Users,ATM_Machines,Debit_Cards,Credit_Cards,Prepaid_Cards,Mobile_Banking_Customers,Internet_Banking_Customers,Branchless_Banking,RTGS_Participants,ConnectIPS_Users,ECC_Members,IPS_Members,RTGS_Count,ATM_Cash_Withdrawal_Count,ECC_Count,IPS_Count,ConnectIPS_Count,Debit_Card_Count,Credit_Card_Count,Prepaid_Card_Count,Internet_Banking_Count,Mobile_Banking_Count,Branchless_Banking_Count,Wallet_Count,QR_Count,POS_Count,Ecommerce_Count,Faster_Payment_Count,Cross_Border_QR_Count,Other_Retail_Count,RTGS_Value,ATM_Cash_Withdrawal_Value,ECC_Value,IPS_Value,ConnectIPS_Value,Debit_Card_Value,Credit_Card_Value,Prepaid_Card_Value,Internet_Banking_Value,Mobile_Banking_Value,Branchless_Banking_Value,Wallet_Value,QR_Value,POS_Value,Ecommerce_Value,Faster_Payment_Value,Cross_Border_QR_Value,Other_Retail_Value
2077 Saun,2020-07,5139,6274129,4150,7437602,164386,58977,11464867,1045558,1575,27,162117,65,85,34616,4769340,1039330,347854,633134,5426368,154698,8986,205735,5923411,53350,10177889,195016,532911,168627,0,0,0,1213870,38393,657113,156360,47367,41787,708,57,3082,18393,1042,7579,589,1858,1201,0,0,0
2077 Bhadau,2020-08,8442,6483964,4177,7499502,165610,30279,11663400,1061688,1601,27,189907,64,85,28137,3797969,677845,656142,895586,4118182,76317,4587,208934,5961339,37344,9415447,179150,314110,87007,0,0,0,835526,32320,402477,153073,61958,33667,407,30,4741,20340,815,7339,648,1223,561,0,0,0
2077 Asoj,2020-09,8693,6643869,4191,7669827,168682,58229,11912813,1061340,1619,27,218749,64,87,41385,5388502,1061661,1077322,1259291,5952693,128460,7706,275933,7850154,47650,10175962,265125,586731,113052,0,0,0,1406545,46785,687075,234498,88979,49109,760,58,6314,28804,1066,9883,969,2349,794,0,0,0
2077 Kartik,2020-10,8741,6773201,4191,7767070,173480,57834,12275838,1065420,1633,27,236361,64,89,34765,6016320,877695,654918,1028037,6650567,141333,5760,221405,7643296,48454,9749707,241818,668319,112706,0,0,0,1108297,55490,545185,170810,73594,58472,816,60,5436,25654,1009,8592,939,3038,820,0,0,0
2077 Mangsir,2020-11,8753,6925915,4224,7916412,175502,58244,12442801,1070323,1654,27,260485,64,91,41332,6297931,970604,794694,1217310,6890924,196158,9788,245286,8386470,86675,9929969,343574,690259,108459,0,0,0,1304852.0098825842,56255.94517324,612782.4433818285,200589.76748605468,90014.56304862001,58835.06582102,1200.5983694099998,88.66200107,7205.791130660001,30286.632058239997,1048.24981646,8986.823051918002,1255.5737791900024,3105.5707794900004,762.80614477,0,0,0
2077 Push,2020-12,8793,7064853,4254,8049059,176414,56626,12689445,1090322,1685,37,288096,65,92,49029,6790646,1122295,980237,1403873,7478022,151685,15655,302056,8681369,50350,9890521,372176,734376,120013,0,0,0,1684030.8568340582,58768.90030583,762766.4262246209,242531.26915906195,100779.09969826,61601.49328521002,955.4599629799999,108.38129465,8502.741954149998,33152.78689584,1115.39471237,9655.547306975,1244.96262734,3053.34246798,843.0854837000002,0,0,0
2077 Magh,2021-01,8928,7411335,4284,8230170,181785,56509,13012933,1119886,1703,37,326003,64,93,49081,7080504,1097113,1642868,1545414,7783284,169985,11928,310482,9672478,50836,10516599,535790,757424,127233,0,0,0,1701030.06631916,60283.78315864001,722283.6432715685,202282.7003294326,104394.37961484001,63354.49969375001,1019.5979090800001,101.07137426,9226.99169427,38596.63557418001,1086.1188923099999,9947.735372124998,1712.1970962799999,3259.5619490100007,931.96336207,0,0,0
2077 Falgun,2021-02,9030,7667312,4297,8402379,185628,57413,13267947,1131547,1721,37,367899,64,93,48765,7472259,1104909,907398,1603598,8215170,189166,11491,267582,10082655,51093,10614268,635738,813330,130202,0,0,0,1736328.9945078304,60711.26433934,701807.9368846965,179696.815825502,110571.98082275,63796.66709811,1039.13919567,101.80188984,8880.02983709,40358.8747131,1123.28005563,10179.528843307999,2055.33158632,3322.250818090001,904.0925951899999,0,0,0
2077 Chaitra,2021-03,9153,7925833,4300,8573382,188507,62256,13591375,1122888,1739,37,404757,63,96,62859,8356061,1396795,997255,2038465,9199716,191946,13378,303844,11047474,68157,11465257,782471,871488,173657,0,0,0,2177811.9935289375,70604.22138071,930788.9079540119,211431.78852097897,141801.84983813998,74146.19808889001,1131.04615809,76.52726985,10214.694649729998,48652.17292520998,1452.9784984100002,11021.036637108999,2721.74259719,3691.2347619999996,1058.25070312,0,0,0
2078 Baisakh,2021-04,9210,8297852,4302,8677662,187311,64891,13825814,1141783,1735,38,438180,63,99,49343,6664179,945609,762332,1843551,7249824,123558,13181,268144,11616566,50792,10743511,672689,608704,113680,0,0,0,1980869.5165976533,58064.92372086999,657310.8746883584,173879.01892873418,141270.38580224002,60698.58730993999,689.82726278,61.1429406,10079.503134740004,48887.12622754,1092.1974489200002,10106.07718523,2528.8173676700003,2616.8786033200004,767.75518913,0,0,0
2078 Jestha,2021-05,9235,8568705,4308,8721829,189198,65782,13961877,1148368,1744,38,480330,63,102,34874,4926771,561598,855522,2160648,5218514,69848,11176,240438,11357181,34854,9750065,502666,334154,38613,0,0,0,1900993.5843671977,46201.18486855,389071.1823722285,144896.53271038242,158253.58153167,47468.20911247,400.42861154999997,37.72749031,11141.771870679999,53159.56058588,709.7656937200001,8352.63857859,1967.80046934,1543.6819806899998,161.49836509,0,0,0
