0,1,2,3,4
S.N.,Loan Products,Percent of Total Loan (mid-July),,
,,FY2021/22,FY2022/23,FY 2023/24
1,Term Loan,25.11,32.19,37.32
2,Overdraft,14.85,3.80,2.01
3,Cash Credit,-,11.44,12.87
4,Trust Receipt Loan/Import Loan,1.88,1.70,1.81
5,Demand and Other Working Capital Loan,23.70,19.68,15.53
6,Personal Residential Home Loan,6.68,6.47,6.92
7,Real Estate Loan,4.78,5.05,4.92
8,Margin Nature Loan,1.55,1.36,1.54
9,Hire Purchase Loan,3.15,3.20,2.34
10,Deprived Sector Loan,6.70,6.08,5.85
11,Bills Purchased,0.07,0.10,0.17
12,Other Product,11.53,8.92,8.73
,Total,100,100,100
