0,1,2
9,"Circular  03  -  Amendment in  Unified  Directives,  2079  (related to  Gold Imports)",2023.09.27
10,"Circular  03  (A,B,C)  –  Amendment  in  Unified  Directives  for  A,B,C  Class BFIs, 2079",2023.10.05
11,"Circular 03 (Infrastructure) - Amendment in Unified Directives for IDB, 2078",2023.10.16
12,"Circular 04 (Infrastructure) - Amendment in Unified Directives for IDB, 2078",2023.10.17
13,"Circular 04 (A,B,C) – Issuance of Unified Directives, 2080",2023.10.17
14,Temporary  Increment  of  deposit  limit  (frequency)  on  wallets  operated  by Payment Service Providers,2023.11.10
15,"Circular  05  (A,B,C)  –  Amendment  in  Unified  Directives  for  A,B,C  Class BFIs, 2080",2023.11.29
16,"Circular 05 (Infrastructure) - Amendment in Unified Directives for IDB, 2080",2023.11.29
17,"Circular 04 – Amendment in Foreign Exchange License and Inspection related Regulations, 2077",2023.12.11
18,"Circular  06  (A,B,C)  –  Amendment  in  Unified  Directives  for  A,B,C  Class BFIs, 2080",2023.12.24
19,"Circular 06 (Infrastructure) - Amendment in Unified Directives for IDB, 2080",2023.12.24
20,"Circular  02  (D)  –  Amendment  in  Unified  Directives  for  Microfinance  FIs, 2079",2023.12.24
21,Circular 05 – Amendment in Unified Circular 2079,2023.12.28
22,Circular 06 – Issuance of Unified Circular 2080,2024.01.11
23,"Circular  07  –  Amendment  in  NRB  Foreign  Investment  and  Foreign  Loan Management Bylaws, 2078",2024.02.09
24,"Circular  08  –  Amendment in  Unified  Circular,  2080 (Bank  Guarantee provisioned for Credit Disbursement)",2024.02.09
25,"Circular  07  (A,B,C)  –  Amendment  in  Unified  Directives  for  A,B,C  Class BFIs, 2080",2024.02.22
26,"Circular 09 – Amendment in Unified Circular, 2080 (Cross-country Payment through QR Code)",2024.03.15
27,"Circular 10 – Amendment in Unified Circular, 2080 (LC for Peace Missions)",2024.04.16
28,"Circular  08  (A,B,C)  –  Amendment  in  Unified  Directives  for  A,B,C  Class BFIs, 2080",2024.05.26
29,Circular  01  (EPF  and  CIT)  –  Provisions  related  with  Prevention  of  Money Laundering  and  Combating the  Financing  of  Terrorism for  Employee Provident Fund and Citizen Investment Fund.,2024.05.31
30,Circular 02  (Hire Purchase)  -  Provisions related  with  Prevention of Money Laundering  and  Combating  the  Financing  of  Terrorism  for  Hire  purchase companies.,2024.05.31
31,"Circular 09 (A,B,C) - Amendment in Unified Directives for A,B,C Class BFIs, 2080",2024.06.26
32,"Circular 11 – Amendment in Unified Circular, 2080 (QR Payments and Bank Repatriation)",2024.06.27
33,"Amendment in Payment Systems related Unified Directives, 2080 (Addition of clause 8 in directive no. 16/080)",2024.06.27
