0,1,2,3,4,5
,Amount (Rs. in billion),,,Percentage Change,
,FY 2021/22,FY 2022/23,FY 2023/24,FY 2022/23,FY 2023/24
Deposits,,,,,
State-owned Commercial Banks,620.81,765.66,955.90,23.33%,24.85%
Non State-owned Commercial Banks,"3,841.15","4,238.77","4,709.85",13.59%,11.11%
Commercial Banks (in Total),"4,461.96","5,004.42","5,665.75",14.98%,13.21%
Loans and Advances,,,,,
State-owned Commercial Banks,581.80,607.44,666.05,4.41%,9.65%
Non State-owned Commercial Banks,"3,571.65","3,658.13","3,825.81",5.55%,4.58%
Commercial Banks (in Total),"4,153.45","4,265.57","4,491.86",5.39%,5.30%
Assets,,,,,
State-owned Commercial Banks,836.50,956.43,"1,160.91",14.34%,21.38%
Non State-owned Commercial Banks,"4,955.07","5,224.08","5,734.56",8.51%,9.77%
Commercial Banks (in Total),"5,791.58","6,180.51","6,895.47",9.38%,11.57%
