0,1,2,3
5. Nepal Investment Mega Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and cash equivalent,"11,148.24","19,396.68","12,470.53"
Due from Nepal Rastra Bank,"5,637.28","20,554.79","19,133.04"
Placement with Bank and Financial Institutions,"8,778.71","15,824.90","15,453.82"
Derivative financial instruments,-,55.46,32.47
Other trading assets,-,-,-
Loan and advances to B/FIs,"7,659.34","8,743.54","12,225.97"
Loans and advances to customers,"157,157.09","302,874.15","305,494.82"
Investment securities,"44,572.88","58,977.27","103,529.35"
Current tax assets,436.40,995.88,971.50
Investment in subsidiaries,171.50,971.50,141.16
Investment in associates,82.36,141.16,237.69
Investment property,573.02,"1,164.97","3,016.50"
Property and equipment,"4,536.01","7,386.75","7,720.88"
Goodwill and Intangible assets,75.35,"1,120.15","1,104.84"
Deferred tax assets,-,107.03,"1,650.16"
Other assets,"3,620.61","7,871.28","8,359.01"
TOTAL ASSETS,"244,448.79","446,185.52","491,541.73"
Liabilities,"210,456.88","390,584.89","431,369.28"
Due to Bank and Financial Institutions,"1,973.92","5,810.45","3,390.91"
Due to Nepal Rastra Bank,"6,470.87",344.78,-
Derivative financial instruments,5.24,-,-
Deposits from customers,"184,791.07","354,414.42","403,416.96"
Borrowing,"3,825.00","11,803.50","5,334.00"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,"1,099.51",-,-
Other liabilities,"6,291.27","12,211.74","9,187.41"
Debt securities issued,"6,000.00","6,000.00","10,040.00"
Subordinated Liabilities,-,-,-
Equity,"33,991.91","55,600.64","60,172.46"
Share capital,"18,307.54","34,128.59","34,128.59"
Share premium,-,-,-
Retained earnings,"1,307.67","(3,471.72)","(5,693.23)"
Reserves,"14,376.71","24,943.76","31,737.09"
TOTAL EQUITY AND LIABILITIES,"244,448.79","446,185.52","491,541.73"
