0,1,2,3,4,5,6
S. No.,Major Financial Indicators,Mid July 2020 (%),Mid July 2021 (%),Mid July 2022 (%),Mid July 2023 (%),Mid July 2024 (%)
1.,Total Deposit / GDP,92.65,98.56,93.68,94.52,100.91
2.,Total Credit / GDP,77.26,87.19,86.22,80.15,80.09
3.,Total Credit / Total Deposit,83.39,88.47,92.04,84.80,79.37
4.,CD Ratio,69.93,76.28,86.43,81.62,78.65
5.,Net Liquidity,29.96,27.77,25.48,29.10,32.21
6.,Statutory  Liquidity  Ratio (SLR),24.02,21.97,19.88,24.35,28.73
7.,Fixed Deposit / Total Deposit,47.18,45.65,53.62,56.98,55.20
8.,Saving  Deposit / Total Deposit,31.16,33.92,27.76,26.87,30.44
9.,Current  Deposit /  Total deposit,11.17,11.31,9.98,8.68,6.40
10.,Call Deposit / Total deposit,9.53,8.05,7.26,6.56,7.22
11.,NPL / Total loan,1.81,1.41,1.20,2.98,3.94
12.,Total LLP / Total Loan,2.44,2.42,2.28,2.52,4.83
13.,Deprived Sector  Loan / Total Loan,6.25,7.43,6.83,6.49,6.03
14.,Cash  &  Bank  balance /  Total Deposit,12.29,9.79,8.16,8.21,7.58
15.,Investment in Govt. Securities / Total Deposit,14.26,15.32,18.01,18.07,18.23
16.,Total Liquid Assets / Total Asset,27.52,25.96,27.27,26.93,26.89
17.,Core Capital / RWA,11.78,10.92,10.73,10.53,9.68
18.,Total Capital / RWA,14.01,14.13,13.53,13.37,12.40
19.,Wt.  Average Interest  on Deposit,6.01,4.76,7.41,7.86,5.77
20.,Wt.  Average Interest  on Credit,10.11,8.43,11.62,12.30,9.93
21.,Base Rate,-,6.88,9.54,9.98,8.01
22.,Interest Spread,-,3.61,4.19,4.45,3.98
