0,1
Name of Agency,Web address
Australian Prudential Regulatory Authority,www.apra.gov.au
Asian Development Bank,www.adb.org
Association for financial professionals,www.afponline.org
American Bankers Association,www.aba.com
Association of German Banks,www.german-banks.com
Asian Clearing Union,www.asianclearingunion.org
Bank Administration Institute (BAI),www.bai.org
Banking Federation of the European Union,www.fbe.be
Bank for International Settlement,www.bis.org
Bank Negara Malaysia,www.bnm.gov.my
"Conference of State Bank Supervisors, USA",www.csbsdal.org
China Banking Regulatory Commission,www.cbrc.gov.cn
European Committee for Banking Standards (ECBS),www.ecbs.org
European Bank for Reconstruction and Development,www.ebrd.org
European Banking Authority,www.eba.europa.eu
Financial Services Authority UK,www.fsa.gov.uk
Federal Reserve Board USA,www.federalreserve.gov
Federal Reserve Bank Boston,www.bos.frb.org
Federal Reserve Bank St. Louis,www.stls.frb.org
Federal Reserve Bank Kansas City,www.kc.frb.org
Federal Reserve Bank Philadelphia,www.phil.frb.org
Federal Reserve Bank Minneapolis,www.mpls.frb.fed.us
Federal Reserve Bank San Francisco,www.frbsf.org
Federal Reserve Bank Richmond,www.richmondfed.org
Federal Reserve Bank Atlanta,www.frbatlanta.org
Federal Reserve Bank New York,www.newyorkfed.org
Federal Reserve Bank Dallas,www.dallasfed.org
Federal Reserve Bank Cleveland,www.clevelandfed.org
"Federal Deposit Insurance Corporation, USA",www.fdic.gov
"Federal Financial Institutions Examination Council, USA",www.ffiec.gov
"Financial Services Agency, Japan",www.fsa.go.jp
FSI Connect,www.fsiconnect.org
International Accounting Standard Board,www.iasb.org
International Monetary Fund (IMF),www.imf.org
Korea Financial Supervisory Commission,www.fsc.go.kr
Monetary Authority of Singapore,www.mas.gov.sg
"Office of the superintendent of financial institutions, Canada",www.osfi-bsif.gc.ca
"Office of the Comptroller of the Currency, USA",www.occ.treas.gov
Reserve Bank of India,www.rbi.org.in
"SEACEN Center, Malaysia",www.seacen.org
"The Risk Management Association, USA",www.rmahq.org
World Bank Group,www.worldbank.org
State Bank of Pakistan,www.sbp.org.pk
Bangladesh Bank,www.bb.org.bd
Central Bank of Srilanka,www.cbsl.gov.lk
Maldives Monetary Authority,www.mma.gov.mv
Royal Monetary Authority of Bhutan,www.rma.org.bt
