0,1,2,3,4,5,6,7,8,9,10,11,12
"5,000.00 4,500.00 4,000.00 3,500.00 3,000.00 2,500.00 2,000.00 1,500.00 1,000.00 500.00 -",FY 2019/20,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,FY 2020/21,,,,FY 2021/22,,,
,,,,,,,,,,,,
Current,389.70,,,,461.98,,,,426.13,,,
Saving,"1,087.52",,,,"1,386.38",,,,"1,228.24",,,
Fixed,"1,645.92",,,,"1,865.14",,,,"2,404.55",,,
Other,366.25,,,,372.69,,,,383.50,,,
Total,"3,489.39",,,,"4,086.20",,,,"4,442.42",,,
