0,1,2,3,4
S.N.,Loan Products,Percent of Total Loan (mid-July),,
,,FY 2019/20,FY 2019/20,FY 2021/22
1,Term Loan,21.47,21.54,25.11
2,Overdraft,14.51,14.76,14.85
3,Trust Receipt Loan/Import Loan,4.76,5.53,1.88
4,Demand and Other Working Capital Loan,23.58,23.04,23.70
5,Personal Residential Home Loan,7.18,6.70,6.68
6,Real Estate Loan,4.87,4.28,4.78
7,Margin Nature Loan,1.42,2.45,1.55
8,Hire Purchase Loan,4.99,3.63,3.15
9,Deprived Sector Loan,5.82,6.45,6.70
10,Bills Purchased,0.11,0.12,0.07
11,Other Product,11.28,11.51,11.53
,Total,100.00,100.00,100.00
