0,1
S.N.,"Name and Link to the Circular Issued to A, B & C Class Financial Institutions"
1,Circular 01- Interim Financial Statements Related
2,"Circular 01 (Infrastructure)- Amendment in Unified Directives for  Infrastructure Development Bank, 2075"
3,"Circular 01 (A,B,C) – Amendment in Unified Directives, 2077"
4,"Circular 02 (Infrastructure) - Unified Directives for Infrastructure Development Bank, 2078"
5,"Circular 02 (A,B,C) – Amendment in Unified Directives, 2077"
6,"Circular 03 (Infrastructure) - Amendment in Unified Directives for  Infrastructure Development Bank, 2078"
7,"Circular 03 (A,B,C) – Amendment in Unified Directives, 2077"
8,"Circular 04 (A,B,C) – Amendment in Unified Directives, 2077"
9,"Circular 05 (A, B, C)-Amendment in Unified Directives, 2077"
10,"Circular 06 (A, B, C)-Amendment in Unified Directives, 2077"
11,"Circular 07 (A, B, C)-Issue of Unified Directives, 2078"
12,"Circular 08 (A, B, C)- Amendment in Unified Directives, 2078"
13,"Circular 09 (A, B, C)- Amendment in Unified Directives, 2078"
14,Circular 10-Half-Yearly Review of Monetary Policy 2078/79
15,"Circular 11- Amendment in Unified Directives, 2078"
