0,1,2,3,4,5
,Amount (Rs. in Billion),,,Percentage Change,
,FY 2019/20,FY 2020/21,FY 2021/22,FY 2020/21,FY 2021/22
Deposits,,,,,
State-owned Commercial Banks,516.06,589.47,620.81,14.22,5.32
Non State-owned CommercialBanks,"2,851.91","3,496.73","3,841.15",22.61,9.85
Commercial Banks (in Total),"3,367.97","4,086.20","4,461.96",21.33,9.2
Loans and Advances,,,,,
State-owned CommercialBanks,385.066,485.976,581.796,26.21,19.72
Non State-owned CommercialBanks,"2,501.16","3,201.68","3,571.65",28.01,11.56
Commercial Banks (in Total),"2,886.23","3,687.65","4,153.45",27.77,12.63
Assets,,,,,
State-owned CommercialBanks,637.25,755.07,836.5,18.49,10.78
Non State-owned CommercialBanks,"3,588.75","4,468.00","4,955.07",24.5,10.9
Commercial Banks (in Total),"4,226.00","5,223.07","5,791.58",23.59,10.88
