0,1,2,3,4,5,6,7
S.No.,Name of Banks,2018,2019,2020,2021,2022,2023
,,Mid-July,,,,,Mid-Feb
1,Nepal Bank Limited (NBL),140,173,211,252,266,279
2,RastriyaBanijya Bank Limited (RBBL),212,245,271,278,293,312
3,NABIL Bank Limited (NABIL),74,81,124,153,247,264
4,Nepal Investment Bank Limited (NIBL),89,105,109,116,121,357
5,Standard Chartered Bank Nepal Ltd. (SCBN),15,15,15,15,15,15
6,Himalayan Bank Limited (HBL),58,54,67,77,81,83
7,Nepal SBI Bank Limited (NSBI),83,108,108,108,113,115
8,Nepal Bangladesh Bank Limited (NBBL)1,72,97,105,108,0,0
