0,1,2,3,4,5,6
S.N.,Bank,Total Outstanding Loan Prior to 6 Months (Rs. In Million),Minimum Required Deprived Sector Lending (5%),Actual Lending in Deprived Sector (Rs. In Million),Actual Lending in Deprived Sector (%),Excess/ (Shortfall) in %
1,Nepal Bank Ltd.,"172,913","8,646","11,058",6.40,1.40
2,RastriyaBanijya Bank Ltd.,"206,649","10,332","16,439",7.96,2.96
3,Nabil Bank Ltd.,"298,863","14,943","18,174",6.08,1.08
4,Nepal Investment Bank Ltd.,"178,513","8,926","11,716",6.56,1.56
5,Standard Chartered Bank Ltd.,"83,774","4,189","5,141",6.14,1.14
6,Himalayan Bank Ltd.,"159,142","7,957","8,298",5.21,0.21
7,Nepal SBI Bank Ltd.,"113,340","5,667","6,714",5.92,0.92
8,Everest Bank Ltd.,"152,381","7,619","8,853",5.81,0.81
9,Bank of Kathmandu Ltd.,"108,219","5,411","4,901",4.53,-0.47
10,Nepal Credit and Commerce Bank Ltd.,"118,910","5,945","7,034",5.92,0.92
11,NIC Asia Bank Ltd,"273,458","13,673","14,485",5.30,0.30
12,Machhapuchhre Bank Ltd.,"133,529","6,676","6,918",5.18,0.18
13,Kumari Bank Ltd.,"161,738","8,087","8,410",5.20,0.20
14,Laxmi Bank Ltd.,"129,639","6,482","10,136",7.82,2.82
15,Siddharth Bank Ltd.,"184,618","9,231","12,270",6.65,1.65
16,Agriculture Development Bank Ltd.,"175,014","8,751","33,274",19.01,14.01
17,Global IME Bank Ltd.,"271,026","13,551","15,257",5.63,0.63
18,Citizens Bank International Ltd.,"132,408","6,620","15,159",11.45,6.45
19,Prime Commercial Bank Ltd.,"162,343","8,117","10,415",6.42,1.42
20,Sunrise Bank Ltd.,"125,375","6,269","9,067",7.23,2.23
21,NMB Bank Ltd.,"179,232","8,962","9,390",5.24,0.24
22,Prabhu Bank Ltd.,"148,403","7,420","9,811",6.61,1.61
23,Mega Bank Nepal Ltd.,"146,985","7,349","8,400",5.71,0.71
24,Civil Bank Ltd.,"87,572","4,379","7,438",8.49,3.49
25,Century Commercial Bank Ltd.,"88,171","4,409","4,780",5.42,0.42
26,Sanima Bank Ltd.,"140,495","7,025","8,912",6.34,1.34
,Total,"3,957,695","197,885","282,450",7.14,2.14
