0,1,2,3
8. Everest Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"10,368.15","9,163.41","14,024.36"
Due from Nepal Rastra Bank,"19,972.67","28,838.57","11,105.03"
Placement with Bank and Financial Institutions,"2,404.00","2,144.70","2,875.50"
Derivative financial instruments,14.54,,-                  15.77
Other trading assets,-,-,-
Loan and advances to B/FIs,"6,857.50","7,486.02","9,573.31"
Loans and advances to customers,"112,211.74","127,687.22","145,480.53"
Investment securities,"28,813.51","31,460.03","35,674.34"
Current tax assets,226.71,441.08,548.67
Investment in subsidiaries,-,-,-
Investment in associates,379.02,502.32,713.66
Investment property,21.04,2.20,2.20
Property and equipment,"2,151.05","2,737.91","3,635.57"
Goodwill and Intangible assets,46.14,32.84,23.08
Deferred tax assets,-,,-                111.96
Other assets,"1,557.12","1,153.94","1,597.35"
,,,
Total Assets,"185,023.19","211,650.25","225,381.32"
,,,
Liabilities,"166,397.70","190,966.64","202,586.77"
Due to Bank and Financial Institutions,"1,182.83",678.98,733.07
Due to Nepal Rastra Bank,32.89,"2,112.18","2,919.26"
Derivative financial instruments,-,27.93,-
Deposits from customers,"143,545.48","160,220.26","172,739.18"
Borrowing,-,,"-             2,556.00"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
