0,1
Federal Reserve Bank San Francisco,www.frbsf.org
Federal Reserve Bank Richmond,www.richmondfed.org
Federal Reserve Bank Atlanta,www.frbatlanta.org
Federal Reserve Bank New York,www.newyorkfed.org
Federal Reserve Bank Dallas,www.dallasfed.org
Federal Reserve Bank Cleveland,www.clevelandfed.org
"Federal Deposit Insurance Corporation, USA",www.fdic.gov
"Federal Financial Institutions Examination Council, USA",www.ffiec.gov
"Financial Services Agency, Japan",www.fsa.go.jp
FSI Connect,www.fsiconnect.org
International Accounting Standard Board,www.iasb.org
International Monetary Fund (IMF),www.imf.org
Korea Financial Supervisory Commission,www.fsc.go.kr
Monetary Authority of Singapore,www.mas.gov.sg
"Office of the superintendent of financial institutions, Canada",www.osfi-bsif.gc.ca
"Office of the Comptroller of the Currency, USA",www.occ.treas.gov
Reserve Bank of India,www.rbi.org.in
"SEACEN Center, Malaysia",www.seacen.org
"The Risk Management Association, USA",www.rmahq.org
World Bank Group,www.worldbank.org
State Bank of Pakistan,www.sbp.org.pk
Bangladesh Bank,www.bb.org.bd
Central Bank of Srilanka,www.cbsl.gov.lk
Maldives Monetary Authority,www.mma.gov.mv
Royal Monetary Authority of Bhutan,www.rma.org.bt
