0,1,2,3,4,5,6,7,8,9,10,11
"9,00030 8,00025 7,000 6,00020 5,00015 4,000Amount (Rs. in Billion)Deposit Ratio (%)Liquid Assets to Total  3,00010 2,0005 1,000 -",,,,,,,,,,,
,,,,,,,,,,,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,FY 2022/23,,,FY 2023/24Amount (Rs. in billion),,,FY 2024/25,,,
,Liquid Assets,"1,480.26",,,1854.28,,,"2,293.84",,,
,Total Assets,"6,468.28",,,6895.47,,,"8,146.17",,,
,Liquid Assets/Total Assets (inpercent),22.88,,,26.89,,,28.16,,,
,,,,,,,,,,,
