0,1,2
S.N.  Name and Link to the Circular Issued,,Issued Date
1,"Circular 01- Issuance of ‘Nepal Rastra Bank Swap Transactions Bylaws, 2081’.",2024.07.28
2,"Circular  01 (D)  –  Amendment/Addition in  Unified  Directives for Microfinance FIs, 2079",2024.07.28
3,"Circular  02  –  Ammendment/Addition in  Unified  Directives,  2080. (Monetary Policy 2081/82 related)",2024.07.31
4,"Circular 01 (A,B,C) – Amendment/Addition in Unified Directives, 2080",2024.07.31
5,"Circular  02 (D) -  Amendment/Addition in  Unified  Directives for Microfinance FIs, 2079",2024.07.31
6,"Circular 01 (Infrastructure) – Amendment/Addition in Unified Directives for Infrastructure Development Bank, 2080",2024.07.31
7,"Circular 02 (A,B,C) – Ammendment/Addition in Unified Directives, 2080.",2024.08.02
8,"Circular 03 (A,B,C) – Ammendment/Addition in Unified Directives, 2080.",2024.08.27
9,"Circular  03 (D) -  Amendment/Addition in  Unified  Directives for Microfinance FIs, 2079",2024.08.27
10,"Circular 02 (Infrastructure) – Amendment/Addition in Unified Directives for Infrastructure Development Bank, 2080",2024.08.27
11,"Circular 03 (Infrastructure) – Amendment/Addition in Unified Directives for Infrastructure Development Bank, 2080",2024.10.01
12,"Circular 04 (A,B,C) – Ammendment/Addition in Unified Directives, 2080.",2024.10.01
13,Temporarily increment of the transaction limit for funds deposit to wallets operated by Payment Service Providers (PSPs).,2024.10.07
14,"Circular 05 (A,B,C) – Ammendment/Addition in Unified Directives, 2080.",2024.10.08
15,"Circular 04 (Infrastructure) – Amendment/Addition in Unified Directives for Infrastructure Development Bank, 2080",2024.10.24
16,"Circular  04 (D) -  Amendment/Addition in  Unified  Directives for Microfinance FIs, 2079",2025.01.07
