0,1,2,3,4,5
,Amount (Rs. in billion) Percentage Change,,,,
,FY 2022/23,FY 2023/24,FY 2024/25,FY 2023/24,FY 2024/25
Deposits,,,,,
State-owned Commercial Banks,765.66,955.90,"1,125.87",24.85,17.78
Non State-owned Commercial Banks,"4,238.77","4,709.77","5,317.71",11.11,12.91
Commercial Banks (in Total),"5,004.42","5,665.67","6,443.57",13.21,13.73
,,,,,
Loans and Advances,FY 2022/23,FY 2023/24,FY 2024/25,FY 2023/24,FY 2024/25
State-owned Commercial Banks,607.44,666.05,745.72,9.65,11.96
Non State-owned Commercial Banks,"3,658.13","3,825.81","4,082.83",4.58,6.72
Commercial Banks (in Total),"4,265.57","4,491.86","4,828.55",5.30,7.50
,,,,,
Assets,FY 2022/23,FY 2023/24,FY 2024/25,FY 2023/24,FY 2024/25
State-owned Commercial Banks,956.43,"1,160.91","1,345.82",21.38,15.93
Non State-owned Commercial Banks,"5,038.12","5,736.89","6,410.42",13.87,11.74
Commercial Banks (in Total),"5,994.55","6,897.80","7,756.24",15.07,12.45
