0,1,2,3
6. Standard Chartered Bank Nepal Limited,Amt. in Rs. Million,,
Statement of Financial Position,FY 2022-23,FY 2023-24,FY 2024-25
ASSETS,,,
Cash and cash equivalent,"16,961.55","28,499.22","43,661.58"
Due from Nepal Rastra Bank,"4,032.14","3,750.85","4,429.94"
Placement with bank and financial institutions,"6,940.37",3.09,"3,652.00"
Derivative financial instruments,8.18,0.70,5.45
Other trading assets,-,-,-
Loan and advances to B/FIs,"16,830.21","7,487.46","14,813.83"
Loans and advances to customers,"77,831.30","81,142.52","72,893.09"
