0,1,2,3,4,5,6
S. No.,Major Financial Indicators,Mid-July 2021 (%),Mid-July 2022 (%),Mid-July 2023 (%),Mid-July 2024 (%),Mid-July 2025 (%)
1.,Total Deposit / GDP1,96.61,91.33,94.77,99.94,105.51
2.,Total Credit / GDP,85.40,83.90,80.41,79.32,80.05
3.,Total Credit / Total Deposit,88.47,92.04,84.80,79.37,75.87
4.,CD Ratio,76.28,86.43,81.62,78.65,75.02
5.,Net Liquidity,27.77,25.48,29.10,32.21,35.07
6.,Statutory Liquidity  Ratio (SLR),21.97,19.88,24.35,28.73,30.13
7.,Fixed Deposit / Total Deposit,45.65,53.62,56.98,55.20,47.59
8.,Saving Deposit / Total Deposit,33.92,27.76,26.87,30.44,36.56
9.,Current  Deposit / Total deposit,11.31,9.98,8.68,6.40,7.76
10.,Call Deposit / Total deposit,8.05,7.26,6.56,7.22,7.36
11.,NPL / Total loan,1.41,1.20,2.98,3.94,4.44
12.,Total LLP / Total Loan,2.42,2.28,2.52,4.83,4.97
13.,Deprived Sector Loan / Total Loan,7.43,6.83,6.49,6.03,5.40
