0,1,2,3,4
S.N.,Sector,Percent of Total Loan (mid-July),,
,,FY 2022/23,FY 2023/24,FY 2024/25
1,Agriculture Forest,7.65,7.09,6.42
2,Fishery,0.31,0.32,0.29
3,Mining,0.26,0.25,0.23
4,"Agriculture, Forestry & Beverage Prod. Related",5.51,5.90,6.44
5,Non-food Production Related,11.86,12.13,11.55
7,Construction,3.88,4.00,4.11
8,"Power, Gas and Water",6.93,7.99,8.71
9,"Metal Products, Machineries, Elec. and Installation",1.57,1.47,1.41
10,"Transport, Warehousing and Communication",1.94,1.69,1.46
11,Wholesalers and Retailers,20.77,19.92,19.06
12,"Finance, Insurance and Real Estate",7.11,7.03,7.41
13,Hotel and Restaurant,4.22,4.36,4.44
14,Other Services,4.13,3.97,4.04
15,Consumable Loans,17.81,18.41,19.36
16,Local Government,0.03,0.03,0.02
17,Others,6.03,5.44,5.03
,Total Loan,100,100,100
