0,1,2,3,4
S.N.,Loan Products,% of total loan (Mid July),,
,,2017,2018,2019
1,Term Loan,16.16,17.46,19.08
2,Overdraft,17.89,16.53,15.00
3,Trust Receipt Loan/Import Loan,3.72,5.41,5.09
4,Demand and Other Working Capital Loan,22.22,22.74,23.96
5,Personal Residential Home Loan,8.09,7.91,7.47
6,Real Estate Loan,6.09,5.43,4.76
7,Margin Loan,1.98,1.57,1.42
8,Hire Purchase Loan,6.92,6.50,5.68
9,Deprived Sector Loan,5.35,5.41,5.69
10,Bills Purchased,1.00,0.14,0.13
11,Other Product,10.59,10.90,11.71
,Total,100,100,100
