0,1,2,3
Due from Nepal Rastra Bank,38124.79,24199.81,"30,944.39"
Placement with Bank and Financial Institutions,3074.02,2965.49,"8,286.38"
Derivative financial instruments,40.72,18.63,"5,713.17"
Other trading assets,0.00,0.00,-
Loan and advances to B/FIs,5758.05,7280.45,"9,142.99"
Loans and advances to customers,269832.42,293000.79,"345,682.98"
Investment securities,49544.18,52964.08,"54,409.31"
Current tax assets,2324.85,1146.30,"3,080.50"
Investment in susidiaries,128.84,228.84,228.84
Investment in associates,178.20,299.47,271.39
Investment property,509.23,384.59,486.54
Property and equipment,13342.82,13770.97,"14,161.10"
Goodwill and Intangible assets,25.03,87.99,149.24
Deferred tax assets,0.00,1102.28,341.10
Other assets,15023.11,23427.84,"31,645.11"
TOTAL ASSETS,437591.03,466218.82,"553,491.00"
Due to Bank and Financial Institutions,7930.67,6134.07,"9,506.22"
Due to Nepal Rastra Bank,220.44,322.65,432.30
Derivative financial instruments,0.00,0.00,"5,504.43"
Deposits from customers,335397.19,367967.49,"426,117.18"
Borrowing,628.34,641.44,"1,071.41"
Current Tax Liabilities,0.00,156.23,-
Provisions,161.84,63.28,131.44
Deferred tax liabilities,4804.83,3365.82,"3,764.51"
Other liabilities,23693.25,18606.77,"25,786.95"
Debt securities issued,920.00,460.00,-
Subordinated Liabilities,0.00,0.00,-
Equity,,,
Share capital,17172.46,17047.46,"33,264.18"
Share premium,3545.19,2731.48,"3,262.81"
Retained earnings,5675.12,5548.18,"7,118.67"
Reserves,20392.33,29236.03,"37,530.88"
TOTAL EQUITY AND LIABILITIES,437591.03,466218.82,"553,491.00"
Interest Income,27862.86,34930.85,"41,060.26"
Interest Expenses,7862.72,12791.41,"17,026.22"
Net Interest Income,20000.14,22139.44,"24,034.04"
Fee and commission income,2804.68,3166.60,"3,574.10"
Fee and commission expense,260.07,266.52,197.42
Net Fee and commission income,2544.61,2900.08,"3,376.68"
