0,1
SN,"Name and Link to the Circular Issued to A, B & C Class Financial Institutions"
1,Circular 01- Monetary Policy Related
2,Circular 02- Extension of time for Interim Financial Reporting
3,Circular 03- Earthquake Victim Refinance Related
4,"Circular 04- Attachment Amendment to Unified Directive,2074"
4.1,"Circular 04- Unified Directive,2075"
5,Circular 05- Earthwuake Loan Interest Subsidy Related
6,Circular 06- Interest Subsidy on Subsidised Loan
7,Circular 07- Increment in Deposit Gurantee Limit
8,Circular 08- Changes in LTV Ratio of Vehicle
9,Circular 09- CCD & Interest Rate Spread Related
10,"Circular 10- Attachment Risk Management Guidelines for Bank and Financial Institutions,2018"
10.1,Circular 10- Risk Management Guidelines
11,"Circular 11- Margin Lending, Stock Broker,Base Rate Related"
12,Circular 12- Province wise Capital Structure Related
13,Circular 13- Promoter Share Conversion & Expansion of Work Area
14,Circular 14- Negotiable Interest Rate Related
15,Circular 15- Credit Information Related
16,Circular 16- Cooling Period and Spread Related
17,Circular 17- Pre-Approval Related
18,Circular 18- CSR and Refinance Related
19,Circular 19- Attachment to Interim Financial Report
20,Circular 20- Dormant Account and Deprived Sector Related
21,Circular 21- Margin Trading Related
22,Circular 22- Simplified Account Opening Procedure Related
23,Circular 23- Amendment in Directive & Byelaws
24,Circular 24- Fixed Deposit Related
25,Circular 25- Call Deposit Related
26,Circular 26- Extension Counter Related
27,"Circular 27- Relaxation for Flood, Productive Sector & Management Fee Related"
