0,1,2,3,4,5,6,7
S.No,Bank's name,Mid-July 2017,,Mid-July 2018,,Mid-July 2019,
,,Capital,,,,,
,,Core Capital,Total Capital Fund,Core Capital,Total Capital Fund,Core Capital,Total Capital Fund
1,Nepal Bank Limited,13.37%,14.47%,16.52%,17.58%,16.49%,17.41%
2,Rastriya Banijya Bank Limited,9.15%,10.39%,12.65%,14.02%,12.01%,13.19%
3,Nabil Bank Limited,11.21%,12.42%,11.99%,13.18%,11.58%,12.71%
4,Nepal Investment Bank Limited,11.58%,13.02%,12.17%,13.34%,11.74%,13.65%
5,Standard Chartered Bank Limited,19.58%,21.08%,22.12%,23.68%,18.52%,19.90%
6,Himalayan Bank Limited,10.93%,12.15%,11.95%,13.03%,11.77%,12.73%
7,Nepal SBI Bank Limited,13.53%,15.71%,13.51%,15.26%,12.63%,14.01%
8,Nepal Bangladesh Bank Limited,14.39%,15.10%,13.68%,14.36%,11.16%,13.75%
9,Everest Bank Limited,12.72%,14.69%,12.99%,14.56%,12.38%,13.75%
10,Bank of Kathmandu Limited,11.75%,13.88%,13.57%,15.05%,13.47%,14.58%
11,Nepal Credit and Commerce Bank Limited,11.49%,12.43%,10.44%,11.38%,13.22%,14.04%
12,NIC Asia Bank Limited,12.38%,13.83%,8.78%,12.37%,8.22%,13.28%
13,Machhapuchchhre Bank Limited,15.78%,16.82%,14.62%,15.60%,11.98%,12.88%
14,Kumari Bank Limited,13.56%,14.50%,12.99%,13.90%,11.20%,12.07%
15,Laxmi Bank Limited,12.43%,13.58%,11.55%,12.54%,10.33%,11.32%
16,Siddhartha Bank Limited,11.02%,12.74%,11.11%,12.43%,9.94%,12.49%
17,Agricultural Development Bank Nepal,18.61%,20.41%,19.16%,20.18%,19.29%,20.31%
18,Global IME Bank Limited,10.23%,11.37%,10.15%,11.67%,10.44%,12.31%
19,Citizens Bank International Limited,15.37%,16.88%,14.13%,15.48%,12.35%,13.19%
20,Prime Bank Limited,12.45%,13.28%,11.75%,12.53%,12.05%,12.78%
21,Sunrise Bank Limited,13.39%,14.47%,12.95%,13.93%,11.28%,13.14%
22,NMB Bank Limited,12.51%,13.79%,14.90%,15.88%,13.03%,15.32%
23,Prabhu Bank Limited,9.49%,11.22%,11.33%,12.66%,10.48%,11.58%
24,Janata Bank Limited,16.92%,17.98%,14.75%,15.70%,12.40%,13.33%
25,Mega Bank Limited,13.80%,14.80%,17.28%,18.35%,14.56%,15.48%
26,Civil Bank Limited,18.34%,19.50%,19.67%,20.65%,17.01%,17.97%
27,Century Commercial Bank Limited,13.91%,14.85%,15.28%,16.22%,13.30%,14.10%
28,Sanima Bank Limited,14.07%,15.57%,11.54%,12.90%,10.55%,13.11%
