0,1,2,3,4,5
,Amount in Rs. Billion,,,Percentage Change,
,2016/17,2017/18,2018/19,2017/18,2018/19
Deposits,,,,,
Non-state Owned,"1,678.90","2,014.18","2,363.75",19.52,17.36%
State Owned,335.40,367.97,426.12,9.71,15.80%
Total,"2,014.306","2,328.14","2,789.87",18.26,19.83%
Loans and Advances,,,,,
Non State Owned,"1,440.309","1,780.08","2,103.93",23.18,18.19%
State Owned,275.59,300.28,260.59,8.96,-13.22%
Total,"1,715.89","2,080.83","2,364.51",21.27,13.63%
Assets,,,,,
Non State Owned,"2,037.11","2,429.33","2,995.33",19.25,23.30%
State Owned,437.59,466.22,553.49,6.54,18.72%
Total,"2,524.83","2,968.28","3,548.82",17.56,19.56%
