0,1,2,3,4,5,6
,,,,Amount in Rs. Million,,
S.N.,BANKS,6 Months prior Loan & Advances,Required Lending in Deprive Sector (5%),Actual Lending in Deprive Sector,,Excess / Shortfall
,,Amount,Amount,%,Amount,Amount
1,NBL,"87,186",4359.3,9.48%,"8,262",4.48%
2,RBB,"134,111",6705.55,5.14%,"6,900",0.14%
3,NABIL,"128,087",6404.35,5.91%,"7,564",0.91%
4,NIBL,"130,314",6515.7,5.21%,"6,792",0.21%
5,SCB,"50,838",2541.9,5.41%,"2,752",0.41%
6,HBL,"99,535",4976.75,5.26%,"5,239",0.26%
7,NSBI,"90,482",4524.1,5.82%,"5,269",0.82%
8,NBB,"50,164",2508.2,5.95%,"2,985",0.95%
9,EBL,"102,643",5132.15,7.90%,"8,112",2.90%
10,BOKL,"75,544",3777.2,5.47%,"4,132",0.47%
11,NCC,"59,974",2998.7,5.33%,"3,196",0.33%
12,NIC Asia,"148,988",7449.4,9.52%,"14,189",4.52%
13,MBL,"74,875",3743.75,5.24%,"3,922",0.24%
14,Kumari,"71,188",3559.4,5.47%,"3,894",0.47%
15,Laxmi,"70,775",3538.75,6.78%,"4,801",1.78%
16,SBL,"97,573",4878.65,6.94%,"6,772",1.94%
17,ADBL,"106,848",5342.4,5.51%,"5,891",0.51%
18,Global,"103,553",5177.65,5.39%,"5,579",0.39%
19,Citizens,"61,222",3061.1,5.74%,"3,511",0.74%
20,Prime,"73,547",3677.35,5.17%,"3,802",0.17%
21,Sunrise,"68,050",3402.5,5.17%,"3,518",0.17%
22,NMB,"85,779",4288.95,5.43%,"4,658",0.43%
23,Prabhu,"87,965",4398.25,5.47%,"4,814",0.47%
24,Janata,"63,608",3180.4,5.14%,"3,272",0.14%
25,Mega,"65,926",3296.3,6.97%,"4,596",1.97%
26,Civil,"44,097",2204.85,5.98%,"2,635",0.98%
27,Century,"59,615",2980.75,5.09%,"3,037",0.09%
28,Sanima,"77,602",3880.1,5.34%,"4,142",0.34%
Grand Total,,"2,370,090","118,504.5",6.09%,"144,237",1.09%
