0,1
SN,"Name and Link to the Circular Issued to A, B & C Class Financial Institutions"
1,Circular 01-Interest Income Recognition Related-new
2,"Circular 02-Monetary Policy & BOD, CEO Age Related-new"
2.1,"Circular 02-Attachment Amendment to Directive to Microfinance FIs, 2075-new"
3,"Circular 03-Changes Unified Directive, 2075-new"
3.1,"Circular 03- Attachment Amendment to Unified Directive, 2075-new"
4,"Circular 04- Amendment to Unified Directive, 2075-new"
4.1,"Circular 04- Attachement Amendment to Unified Directive, 2075-new"
5,"Circular 05- Unified Directive, 2076-new"
6,Circular 06-AMLCFT Merger and Retained Earnings Related-new
7,Circular 07-Amendment in Interest Subsidy-new
8,Circular 08-Interest Subsidy-new
9,"Circular 09-DTI, Deprived Sector, & AML related"
10,Circular 10-NRB Refinance Procedure related
10.1,Circular 10- Attachment To NRB Refinance Procedure related
11,Circular 11-DTI CCD related
12,Circular 12-Gold Deposit related
13,Circular 13-Monetary Policy Mid Term Review Related
14,Circular 14 – Circular for “ABC” Class BFIs
15,Circular 15 – Circular for “ABC” Class BFIs
