0,1,2,3,4,5,6,7,8,9
S. No,Bank's name,Mid-July 2018,,,Mid-July 2019,,,Mid-July 2020,
,,Capital,,,,,,,
,,Core Capital,Total Capital Fund,Core Capital,,Total Capital Fund,Core Capital,,Total Capital Fund
1,Nepal Bank Limited,16.52%,17.58%,16.49%,,17.41%,15.93%,,16.68%
2,Rastriya Banijya Bank Limited,12.65%,14.02%,12.01%,,13.19%,12.00%,,12.68%
3,Nabil Bank Limited,11.99%,13.18%,11.58%,,12.71%,10.69%,,12.81%
4,Nepal Investment Bank Limited,12.17%,13.34%,11.74%,,13.65%,11.52%,,13.23%
5,Standard Chartered Bank Limited,22.12%,23.68%,18.52%,,19.90%,16.92%,,18.54%
6,Himalayan Bank Limited,11.95%,13.03%,11.77%,,12.73%,11.76%,,14.89%
7,Nepal SBI Bank Limited,13.51%,15.26%,12.63%,,14.01%,12.28%,,15.42%
8,Nepal Bangladesh Bank Limited,13.68%,14.36%,11.16%,,13.75%,10.45%,,13.17%
9,Everest Bank Limited,12.99%,14.56%,12.38%,,13.75%,11.86%,,13.32%
10,Bank of Kathmandu Limited,13.57%,15.05%,13.47%,,14.58%,13.27%,,14.16%
11,Nepal Credit and Commerce Bank Limited,10.44%,11.38%,13.22%,,14.04%,12.38%,,13.40%
12,NIC Asia Bank Limited,8.78%,12.37%,8.22%,,13.28%,8.18%,,13.16%
13,Machhapuchchhre Bank Limited,14.62%,15.60%,11.98%,,12.88%,9.54%,,13.00%
14,Kumari Bank Limited,12.99%,13.90%,11.20%,,12.07%,11.13%,,14.42%
15,Laxmi Bank Limited,11.55%,12.54%,10.33%,,11.32%,10.02%,,12.62%
16,Siddhartha Bank Limited,11.11%,12.43%,9.94%,,12.49%,9.06%,,12.97%
17,Agricultural Development Bank Nepal,19.16%,20.18%,19.29%,,20.31%,17.63%,,20.46%
18,Global IME Bank Limited,10.15%,11.67%,10.44%,,12.31%,10.96%,,12.41%
19,Citizens Bank International Limited,14.13%,15.48%,12.35%,,13.19%,12.10%,,15.45%
20,Prime Bank Limited,11.75%,12.53%,12.05%,,12.78%,12.71%,,13.40%
21,Sunrise Bank Limited,12.95%,13.93%,11.28%,,13.14%,10.21%,,14.60%
22,NMB Bank Limited,14.90%,15.88%,13.03%,,15.32%,12.51%,,14.56%
23,Prabhu Bank Limited,11.33%,12.66%,10.48%,,11.58%,9.76%,,11.59%
24,Mega Bank Limited,17.28%,18.35%,14.56%,,15.48%,12.02%,,12.88%
25,Civil Bank Limited,19.67%,20.65%,17.01%,,17.97%,13.83%,,15.00%
26,Century Commercial Bank Limited,15.28%,16.22%,13.30%,,14.10%,13.80%,,14.53%
27,Sanima Bank Limited,11.54%,12.90%,10.55%,,13.11%,10.33%,,12.97%
