0,1,2,3,4,5
SN,Course,Organizer,Country,Person,Days
1,Prudential supervision of The Banking  Sector  and  Macroprudential  Regulations,ISCB,"Istanbul, Turkey",3,4
2,SEACEN Couurse on Bank Analysis and Supervision,SEACEN,"Seoul, Korea",1,3
3,SEACEN Course on Off-site Monitoring,SEACEN,"Taipei, Taiwan",1,6
4,xpected Credit Losses and  EProvisioning,SEACEN,Cambodia,1,5
5,xpected Credit Losses and  EProvisioning,SEACEN,Cambodia,1,5
6,SEACEN Course on Off-site Monitoring,SEACEN,"Taipei, Taiwan",2,6
7,Proportionate  Application  of  Global Standards Working Group Meeting,AFI,"Kigali, Rwanda",1,4
8,urrent Issues on Technological Risk  CManagement in Financial System,Bank Indonesia,"Bali, Indonesia",2,5
9,SEACEN Course on Financial Cycles and Crises,SEACEN,Mongolia,1,6
10,Anti-Money Laundering for Nepal,Yunnan Intl Center for Eco. & Tech. Exchange,"Kunming, China",1,10
11,SEACEN Course on Off-site Monitoring,SEACEN,"Taipei, Taiwan",2,6
12,onetary Policy Strategies and  MMonetary Operations,SEACEN,"Siem Reap, Cambodia",1,5
13,Emerging Trends in Good,State Bank of,"Islamabad,",1,3
