0,1,2,3,4,5,6
,,,,Rs.in Million,,
S.N.,BANKS,6 Months prior Loan & Advances,Required Lending in Deprived Sector (5%),Actual Lending in Deprive Sector,,Excess / Shortfall
,,Amount,Amount,%,Amount,Amount
1,NBL,"103,906","5,195",8.30%,"8,619",3.30%
2,RBB,"152,514","7,626",5.45%,"8,309",0.45%
3,NABIL,"140,556","7,028",5.21%,"7,321",0.21%
4,NIBL,"140,878","7,044",5.17%,"7,288",0.17%
5,SCB,"56,676","2,834",5.69%,"3,227",0.69%
6,HBL,"102,912","5,146",5.31%,"5,467",0.31%
7,NSBI,"98,051","4,903",5.82%,"5,705",0.82%
8,NBB,"60,015","3,001",5.43%,"3,258",0.43%
9,EBL,"120,253","6,013",6.22%,"7,478",1.22%
10,BOKL,"82,495","4,125",5.13%,"4,235",0.13%
11,NCC,"68,911","3,446",5.15%,"3,547",0.15%
12,NIC Asia,"165,247","8,262",13.06%,"21,577",8.06%
13,MBL,"90,055","4,503",5.05%,"4,545",0.05%
14,Kumari,"84,719","4,236",6.39%,"5,411",1.39%
15,Laxmi,"86,332","4,317",5.57%,"4,809",0.57%
16,SBL,"123,056","6,153",6.36%,"7,822",1.36%
17,ADBL,"117,756","5,888",7.90%,"9,308",2.90%
18,Global,"198,679","9,934",5.61%,"11,142",0.61%
19,Citizens,"75,513","3,776",5.76%,"4,352",0.76%
20,Prime,"113,895","5,695",5.11%,"5,816",0.11%
21,Sunrise,"77,488","3,874",6.65%,"5,156",1.65%
22,NMB,"19,919",996,5.35%,"6,412",0.35%
23,Prabhu,"98,681","4,934",5.17%,"5,101",0.17%
24,Mega,"105,646","5,282",6.93%,326,1.93%
25,Civil,"50,016","2,501",5.71%,"2,855",0.71%
26,Century,"62,562","3,128",5.28%,"3,305",0.28%
27,Sanima,"91,488","4,574",5.60%,"5,120",0.60%
Grand Total,,"2,688,219","134,411",6.26%,"167,511",1.26%
