0,1,2,3,4,5,6,7
S.No.,Name of Banks,2016,2017,2018,2019,2020,2021
,,Mid-July,,,,,Mid-April
1,Nepal Bank Limited (NBL),130,130,140,173,211,247
2,Rastriya Banijya Bank Limited (RBBL),174,185,212,245,271,278
3,NABIL Bank Limited (NABIL),52,52,74,81,124,125
4,Nepal Investment Bank Limited (NIBL),46,61,89,105,109,116
5,Standard Chartered Bank Nepal Ltd. (SCBN),19,15,15,15,15,15
6,Himalayan Bank Limited (HBL),45,45,58,54,67,76
7,Nepal SBI Bank Limited (NSBI),73,66,83,108,108,108
8,Nepal Bangladesh Bank Limited (NBBL),35,46,72,97,105,107
9,Everest Bank Limited (EBL),61,60,90,95,99,106
10,Bank of Kathmandu Limited (BOK),69,75,83,96,99,101
11,Nepal Credit and Commerce Bank Limited (NCCBL),22,96,108,129,133,137
12,NIC Asia Bank Limited (NICA),67,118,237,330,424,428
13,Machhapuchchhre Bank Limited (MBL),57,56,88,132,165,167
14,Kumari Bank Limited (KBL),36,74,88,93,186,200
15,Laxmi Bank Limited (LBL),50,66,96,110,126,133
16,Siddhartha Bank Limited (SBL),62,70,121,156,186,189
17,Agriculture Development Bank (ADBL)*,245,249,250,264,268,282
18,Global IME Bank Limited (GIBL)#,87,113,132,163,294,318
19,Citizens Bank International Limited (CBIL),56,60,79,75,110,110
20,Prime Commercial Bank Limited (PCBL),32,53,63,67,198,199
21,Sunrise Bank Limited (SRBL),67,70,92,118,145,152
22,NMB Bank Limited (NMB),71,80,118,114,172,189
23,Janata Bank Nepal Limited (JBNL),123,88,121,145,-,-
24,Mega Bank Nepal Limited (MBNL),37,47,105,121,236,218
25,Civil Bank Limited (CBL),40,51,69,90,115,121
26,Century Commercial Bank Limited (CCBL),42,67,103,121,123,133
27,Sanima Bank Limited (SBL),31,46,74,79,88,103
28,Prabhu Bank Limited (PRVU),40,135,164,214,259,274
,Total,"1,869","2,274","3,024","3,590","4,436","4,632"
