0,1,2,3,4
SN,Sector,% of Total Loan (mid-July),,
,,2018,2019,2020
1,Agriculture Forest,4.60,5.26,5.75
2,Fishery,0.11,0.14,0.16
3,Mining,0.21,0.28,0.21
4,"Agriculture, Forestry & Beverage Prod. Related",6.00,5.66,5.43
5,Non-food Production Related,12.85,13.70,13.17
7,Construction,10.06,10.06,10.16
8,"Electricity, Gas and Water",3.89,4.79,5.40
9,"Metal Products, Machineries, Elec. and Installation",1.41,1.29,1.48
10,"Transport, Warehousing and Communication",2.71,2.55,2.60
11,Wholesalers and Retailers,22.90,22.06,20.84
12,"Finance, Insurance and Real Estate",8.51,8.03,7.66
13,Hotel and Restaurant,3.77,4.24,4.61
14,Other Services,4.50,4.38,4.73
15,Consumable Loans,6.69,5.50,4.75
16,Local Government,0.07,0.06,0.05
17,Others,11.72,12.00,12.99
,Total Loan,100,100,100
