0,1,2,3
24. Prabhu Bank Limited,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"13,155.09","15,163.38","7,677.02"
Due from Nepal Rastra Bank,"6,172.04","6,668.57","20,028.38"
Placement with Bank and Financial Institutions,"2,215.41",-,769.05
Derivative financial instruments,-,82.87,"5,353.76"
Other trading assets,-,-,-
Loan and advances to B/FIs,"3,181.81","3,931.85","3,897.66"
Loans and advances to customers,"72,990.23","86,415.90","99,692.11"
Investment securities,"8,035.89","14,572.08","20,280.79"
Current tax assets,38.57,5.99,50.22
Investment in subsidiaries,116.96,116.96,116.96
Investment in associates,-,-,-
Investment property,464.80,439.18,517.58
Property and equipment,"2,107.74","2,280.26","2,355.48"
Goodwill and Intangible assets,17.23,39.77,47.76
Deferred tax assets,-,-,257.05
Other assets,"4,090.39","4,189.34","6,682.67"
TOTAL ASSETS,"112,586.17","133,906.16","167,726.50"
Due to Bank and Financial Institutions,-,-,"7,785.25"
Due to Nepal Rastra Bank,702.21,801.79,"4,794.41"
Derivative financial instruments,45.85,-,"5,311.76"
Deposits from customers,"97,259.66","112,393.45","128,494.35"
Borrowing,-,"1,100.40",495.18
Current Tax Liabilities,-,-,-
Provisions,23.32,23.33,23.32
