0,1,2,3,4
S.N.,Loan Products,% of total loan (Mid July),,
,,2019,2020,2021
1,Term Loan,19.08,21.47,21.54
2,Overdraft,15,14.51,14.76
3,Trust Receipt Loan/Import Loan,5.09,4.76,5.53
4,Demand and Other Working Capital Loan,23.96,23.58,23.04
5,Personal Residential Home Loan,7.47,7.18,6.70
6,Real Estate Loan,4.76,4.87,4.28
7,Margin Nature Loan,1.42,1.42,2.45
8,Hire Purchase Loan,5.68,4.99,3.63
9,Deprived Sector Loan,5.69,5.82,6.45
10,Bills Purchased,0.13,0.11,0.12
11,Other Product,11.71,11.28,11.51
,Total,100,100,100
