0,1,2,3,4,5,6,7
S. No,Bank's name,Mid-July 2019,,Mid-July 2020,,Mid-July 2021,
,,Capital,,,,,
,,Core Capital,Total Capital Fund,Core Capital,Total Capital Fund,Core Capital,Total Capital Fund
1,Nepal Bank Limited,16.49%,17.41%,15.93%,16.68%,14.64%,17.91%
2,Rastriya Banijya Bank Limited,12.01%,13.19%,12.00%,12.68%,11.90%,14.31%
3,Nabil Bank Limited,11.58%,12.71%,10.69%,12.81%,10.82%,12.69%
4,Nepal Investment Bank Limited,11.74%,13.65%,11.52%,13.23%,11.03%,14.64%
5,Standard Chartered Bank Limited,18.52%,19.90%,16.92%,18.54%,15.53%,17.17%
6,Himalayan Bank Limited,11.77%,12.73%,11.76%,14.89%,11.16%,13.85%
7,Nepal SBI Bank Limited,12.63%,14.01%,12.28%,15.42%,11.09%,13.93%
8,Nepal Bangladesh Bank Limited,11.16%,13.75%,10.45%,13.17%,11.04%,13.94%
9,Everest Bank Limited,12.38%,13.75%,11.86%,13.32%,11.26,12.51
10,Bank of Kathmandu Limited,13.47%,14.58%,13.27%,14.16%,11.73,14.02
