0,1,2,3,4,5
,Rs. In Billion,,,Percentage Change,
,2018/19,2019/20,2020/21,2019/20,2020/21
Deposits,,,,,
Non State Owned,"2,363.75","2,969.54","3,496.73",25.63%,17.75%
State Owned,515.05,519.85,589.47,0.93%,13.39%
Total,"2,878.80","3,489.39","4,086.20",21.21%,17.10%
Loans and Advances,,,,,
Non State Owned,"2,127.332","2,514.480","3,201.676",18.20%,27.33%
State Owned,354.83,389.11,485.98,9.66%,24.89%
Total,"2,482.16","2,903.59","3,687.65",16.98%,27.00%
Assets,,,,,
Non State Owned,"2,995.33","3,610.59","4,468.00",20.54%,23.75%
State Owned,553.49,636.23,755.07,14.95%,18.68%
Total,"3,548.82","4,246.82","5,223.07",19.67%,22.99%
