0,1,2,3,4,5,6
S. No.,Bank,6 Months Prior Loans and Advances,Required Lending in Deprived Sector (5%),Actual Lending in Deprived Sector,,Excess (Shortfall) in %
,,,,%,Amount,
1,Nepal Bank Ltd.,"122,757.29","6,137.86",7.93,"9,730.69",2.93
2,Rastriya Banijya Bank Ltd.,"170,587.27","8,529.36",8.71,"14,865.22",3.71
3,Nabil Bank Ltd.,"178,532.12","8,926.61",6.80,"12,131.47",1.80
4,Nepal Investment Bank Ltd.,"147,718.44","7,385.92",5.82,"8,592.76",0.82
5,Standard Chartered Bank Ltd.,"56,032.25","2,801.61",7.56,"4,234.62",2.56
6,Himalayan Bank Ltd.,"115,281.48","5,764.07",5.63,"6,489.73",0.63
7,Nepal SBI Bank Ltd.,"92,888.41","4,644.42",6.63,"6,159.63",1.63
8,Nepal Bangladesh Bank Ltd.,"62,250.57","3,112.53",8.75,"5,444.08",3.75
9,Everest Bank Ltd.,"119,830.99","5,991.55",6.94,"8,319.56",1.94
10,Bank of Kathmandu Ltd.,"91,475.44","4,573.77",5.77,"5,274.91",0.77
11,Nepal Credit and Commerce Bank Ltd.,"82,806.16","4,140.31",7.00,"5,798.41",2.00
12,NIC Asia Bank Ltd,"233,080.94","11,654.05",5.57,"12,984.28",0.57
13,Machhapuchhre Bank Ltd.,"107,197.52","5,359.88",5.97,"6,397.90",0.97
14,Kumari Bank Ltd.,"120,410.67","6,020.53",6.57,"7,906.90",1.57
15,Laxmi Bank Ltd.,"95,522.55","4,776.13",7.27,"6,946.30",2.27
16,Siddharth Bank Ltd.,"144,124.47","7,206.22",8.13,"11,711.12",3.13
17,Agriculture Development Bank Ltd.,"132,174.16","6,608.71",18.74,"24,767.49",13.74
18,Global IME Bank Ltd.,"215,690.04","10,784.50",6.91,"14,905.57",1.91
19,Citizens Bank International Ltd.,"91,057.92","4,552.90",13.28,"12,095.87",8.28
20,Prime Commercial Bank Ltd.,"125,405.80","6,270.29",6.07,"7,613.68",1.07
21,Sunrise Bank Ltd.,"89,472.12","4,473.61",7.97,"7,127.40",2.97
22,NMB Bank Ltd.,"143,652.36","7,182.62",5.47,"7,859.15",0.47
23,Prabhu Bank Ltd.,"129,381.87","6,469.09",8.37,"10,823.09",3.37
24,Mega Bank Nepal Ltd.,"127,766.21","6,388.31",5.83,"7,450.64",0.83
25,Civil Bank Ltd.,"67,965.12","3,398.26",9.09,"6,180.89",4.09
26,Century Commercial Bank Ltd.,"72,033.68","3,601.68",5.40,"3,891.73",0.40
27,Sanima Bank Ltd.,"104,620.91","5,231.05",7.05,"7,371.22",2.05
Grand Total,,"3,239,716.76","161,985.84",7.50,"243,074.32",2.50
