0,1,2,3
Consolidated Financials of the Non State Owned Banks,Amount in Rs. Million,,
Statement of Financial Position,2018-19,2019-20,2020-21
ASSETS,,,
Cash and cash equivalent,"203,857.99","246,726.58","234,812.28"
Due from Nepal Rastra Bank,"164,351.43","259,787.53","225,470.84"
Placement with Bank and Financial Institutions,"60,446.11","52,199.25","59,029.71"
Derivative financial instruments,"40,308.53","52,397.74","58,418.82"
Other trading assets,"2,379.52","1,262.32","1,372.37"
Loan and advances to B/FIs,"81,897.93","103,979.83","129,520.13"
Loans and advances to customers,"2,045,434.11","2,435,740.25","3,072,155.43"
Investment securities,"310,714.29","409,228.68","572,366.52"
Current tax assets,"3,536.77","9,627.31","7,592.20"
Investment in subsidiaries,"4,983.89","5,882.43","5,728.38"
Investment in associates,"1,200.35","3,223.04","4,576.68"
Investment property,"4,367.47","5,232.11","6,339.60"
Property and equipment,"34,456.68","38,003.06","40,153.77"
Goodwill and Intangible assets,"1,320.44","2,087.07","2,098.11"
Deferred tax assets,"1,156.06","1,415.81","1,482.80"
Other assets,"34,914.23","36,429.85","46,879.02"
TOTAL ASSETS,"2,995,325.78","3,663,222.85","4,467,996.64"
,,,
Liabilities,"2,636,826.68","3,258,189.61","4,004,675.11"
Due to Bank and Financial Institutions,"107,180.96","120,615.63","140,064.61"
Due to Nepal Rastra Bank,"24,636.04","15,995.76","102,608.92"
