0,1,2,3,4
2,Fishery,0.21,0.28,0.31
3,Mining,0.22,0.20,0.26
4,"Agriculture, Forestry & Beverage Prod. Related",5.48,5.25,5.51
5,Non-food Production Related,12.32,11.60,11.86
7,Construction,9.56,3.71,3.88
8,"Power, Gas and Water",5.45,5.74,6.93
9,"Metal Products, Machineries, Elec. and Installation",1.61,1.68,1.57
10,"Transport, Warehousing and Communication",2.12,1.99,1.94
11,Wholesalers and Retailers,20.55,20.75,20.77
12,"Finance, Insurance and Real Estate",7.74,7.55,7.11
13,Hotel and Restaurant,4.44,4.21,4.22
14,Other Services,4.40,4.25,4.13
15,Consumable Loans,5.52,18.14,17.81
16,Local Government,0.04,0.03,0.03
17,Others,13.82,7.45,6.03
,Total Loan,100.00,100.00,100.00
