0,1,2,3,4,5,6,7,8,9,10
"Figure 3-14: Liquid Asset to Total Deposit (mid-July, 2021 to 2023)  6,000.0029.5029.00 5,000.00 4,000.00 3,000.00Amount (Rs. in Billion) 2,000.00 1,000.00 -",,,,,,,,,,
,,,,,,,,,28.50,
,,,,,,,,,28.00,
,,,,,,,,,27.50Liquid Asset to Total Deposit Ratio (%),
,,,,,,,,,27.00,26.00
,,,,,,,,,26.50,
,,FY 2020/21,,,FY 2021/22,,FY 2022/23,,,
,Liquid Assets,"1,167.00",,,"1,239.25",,"1,480.26",,,
,Total Deposits,"4,086.00",,,"4,544.36",,"5,086.30",,,
,Liquid Assets/ Total Deposit(in percent),28.56,,,27.27,,29.10,,,
,,,,,,,,,,
