0,1,2
S. N.,Name of Bank,No. of Inspections
1,Rastriya Banijya Bank Ltd.,2
2,Global IME Bank Ltd.,3
3,Siddhartha Bank Ltd.,1
4,Himalayan Bank Ltd.,2
5,Prabhu Bank Ltd.,4
6,NMB Bank Ltd.,2
7,NIC Asia Bank Ltd.,2
8,Nabil Bank Ltd.,2
9,Prime Commercial Bank Ltd.,2
10,Citizens Bank International Ltd.,1
11,Sanima Bank Ltd.,1
12,Everest Bank Ltd.,2
13,Nepal SBI Bank Ltd.,1
14,"Kumari Bank Ltd,",3
15,Nepal Bank Ltd.,2
16,Nepal Investment Mega Bank Ltd.,2
17,Agricultural Development Bank Ltd.,1
18,Laxmi Sunrise Bank Ltd.,4
