0,1,2,3,4,5
,Amount (Rs. in billion),,,Percentage Change,
,FY 2020/21,FY 2021/22,FY 2022/23,FY 2021/22,FY 2022/23
Deposits,,,,,
State-owned Commercial Banks,589.47,620.81,765.66,5.32,23.33
Non State-owned Commercial Banks,"3,496.73","3,841.15","4,238.77",9.85,10.35
Commercial Banks (in Total),"4,086.20","4,461.96","5,004.42",9.20,12.16
Loans and Advances,,,,,
State-owned Commercial Banks,485.98,581.80,607.44,19.72,4.41
Non State-owned Commercial Banks,"3,201.676","3,571.65","3,658.13",11.56,2.42
Commercial Banks (in Total),"3,687.65","4,153.45","4,265.57",12.63,2.70
Assets,,,,,
State-owned Commercial Banks,755.07,836.50,956.43,10.78,14.34
Non State-owned Commercial Banks,"4,468.00","4,955.07","5,224.08",10.90,5.43
