0,1,2,3
Fees and commission expense,46.88,56.19,213.65
Net fee and commission income,"1,566.07","1,408.10","1,158.21"
"Net interest, fee and commission income","8,431.79","9,764.04","9,353.87"
Net trading income,994.30,232.46,115.52
Other operating income,452.41,234.76,131.79
Total operating income,"9,878.50","9,766.34","9,601.18"
Impairment charge/(reversal) for loans and other losses,121.43,992.76,"1,458.17"
Net operating income,"9,757.07","8,773.58","8,143.01"
Personnel expenses,"3,311.39","3,823.92","3,620.73"
Other operating expenses,"1,132.68",872.31,995.69
Depreciation and Amortization,275.69,472.95,487.08
Operating Profit,"5,037.32","3,604.41","3,039.50"
Non-operating income,28.24,87.53,101.74
Non-operating expense,3.21,51.55,26.37
Profit before income tax,"5,062.34","3,640.39","3,114.88"
Income Tax Expense,-,-,"1,791.47"
Current Tax,"1,344.77","1,684.70","1,633.08"
Deferred Tax,190.04,(270.07),158.39
Profit for the period,"3,527.54","2,225.77","1,323.41"
