0,1,2,3,4,5,6,7,8
6,Himalayan Bank Ltd.,58,54,67,77,81,211,196
7,Nepal SBI Bank Ltd.,83,108,108,108,113,116,120
8,Nepal Bangladesh Bank Ltd.1,72,97,105,108,-,-,-
9,Everest Bank Ltd.,90,95,99,107,122,131,132
10,Bank of Kathmandu Ltd. (BOK)2,83,96,99,101,114,-,-
11,Nepal Credit and Commerce Bank Ltd.3,108,129,133,143,170,-,-
12,NIC Asia Bank Ltd.,237,330,424,427,462,472,476
13,Machhapuchchhre Bank Ltd.,88,132,165,168,174,179,178
14,Kumari Bank Ltd.,88,93,186,203,212,350,354
15,Laxmi Bank Ltd.7,96,110,126,138,155,-,-
16,Siddhartha Bank Ltd.,121,156,186,189,190,197,197
17,Agricultural Development Bank Ltd.,250,264,268,282,286,287,287
18,Global IME Bank Ltd.,132,163,294,321,341,423,420
19,Citizens Bank International Ltd.,79,75,110,190,179,191,193
20,Prime Commercial Bank Ltd.,63,67,198,186,181,190,192
21,Sunrise Bank Ltd.7,92,118,145,152,153,-,-
22,NMB Bank Ltd.,118,114,172,190,212,213,213
23,Janata Bank Nepal Ltd.2,121,145,-,0,0,-,-
24,Mega Bank Nepal Ltd.4,105,121,236,211,233,-,-
25,Civil Bank Ltd.6,69,90,115,123,127,-,-
26,Century Commercial Bank Ltd.5,103,121,123,136,155,-,-
27,Sanima Bank Ltd.,74,79,88,103,127,132,133
28,Prabhu Bank Ltd.,164,214,259,276,280,368,371
29,Nepal Investment Mega Bank Ltd.,-,-,-,-,-,358,335
30,Laxmi Sunrise Bank Ltd.,-,-,-,-,-,314,302
,Total,"3,024","3,590","4,436","4,753","5,009","5,049","5,036"
