0,1,2,3,4,5,6
S. N.,Major Financial Indicators,2019,2020,2021,2022,2023
1,Total Deposit / GDP,83.14,92.65,98.56,93.68,94.52
2,Total Credit / GDP,72.17,77.26,87.19,86.22,80.15
3,Total Credit / Total Deposit,86.81,83.39,88.47,92.04,84.80
4,CD Ratio,77.04*,70.14*,77.88*,86.47,83.00
5,Net Liquidity,27.47,29.96,27.77,25.48,29.10
6,Statutory Liquidity Ratio (SLR),20.32,24.02,21.97,19.88,24.35
7,Fixed Deposit / Total Deposit,45.42,47.18,45.65,53.62,56.98
8,Saving Deposit / Total Deposit,31.30,31.16,33.92,27.76,26.87
9,Current Deposit / Total deposit,10.47,11.17,11.31,9.98,8.68
10,Call Deposit / Total deposit,11.69,9.53,8.05,7.26,6.56
11,NPL / Total loan,1.40,1.81,1.41,1.20,2.98
12,Total LLP / Total Loan,2.05,2.44,2.42,2.28,2.52
13,Deprived Sector Loan / Total Loan,6.07,6.25,7.43,6.83,6.49
14,Cash & Bank balance / Total Deposit,11.30,12.29,9.79,8.16,8.21
15,Investment in Govt. Securities / Total Deposit,12.33,14.26,15.32,18.01,18.07
16,Total Liquid Assets / Total Deposit,24.41,27.52,25.96,27.27,26.93
17,Core Capital / RWA,12.38,11.78,10.92,10.73,10.53
18,Total Capital / RWA,13.95,14.01,14.13,13.53,13.37
19,Wt. Average Interest on Deposit,6.60,6.01,4.76,7.41,7.86
20,Wt. Average Interest on Credit,12.16,10.11,8.43,11.62,12.30
